a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,code_sondage,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
Non,0,2,1,000002007,1,2,Infra & Cloud,Y,Occasionnel,1,2
Non,0,5,1,000002008,9,4,Transformation Digitale,Y,Occasionnel,0,8
Non,1,6,1,000002009,15,2,Transformation Digitale,Y,Occasionnel,8,1
Non,0,3,1,000002010,29,4,Infra & Cloud,Y,Occasionnel,4,1
Non,2,3,1,000002012,1,4,Infra & Cloud,Y,Occasionnel,0,0
Non,1,2,1,000002013,1,4,Transformation Digitale,Y,Occasionnel,2,2
Non,0,2,1,000002014,24,1,Infra & Cloud,Y,Occasionnel,1,7
Non,1,3,1,000002015,10,3,Transformation Digitale,Y,Occasionnel,1,11
Non,2,3,1,000002016,1,4,Marketing,Y,Occasionnel,5,7
Non,1,2,1,000002017,10,3,Infra & Cloud,Y,Occasionnel,6,8
Non,1,3,1,000002018,8,2,Autre,Y,Occasionnel,0,4
Non,2,3,1,000002019,29,4,Infra & Cloud,Y,Aucun,0,0
Non,0,2,1,000002020,1,3,Transformation Digitale,Y,Occasionnel,1,2
Non,0,6,1,000002021,5,1,Transformation Digitale,Y,Occasionnel,1,2
Non,0,3,1,000002022,9,3,Infra & Cloud,Y,Aucun,1,3
Oui,1,3,1,000002023,9,3,Marketing,Y,Frequent,1,0
Non,2,2,1,000002024,3,3,Transformation Digitale,Y,Occasionnel,3,4
Non,3,3,1,000002025,4,2,Infra & Cloud,Y,Frequent,0,2
Non,1,2,1,000002026,1,4,Infra & Cloud,Y,Aucun,1,9
Oui,3,3,1,000002027,1,4,Transformation Digitale,Y,Occasionnel,2,2
Non,0,2,1,000002031,2,3,Infra & Cloud,Y,Occasionnel,4,14
Oui,1,4,1,000002032,7,2,Entrepreunariat,Y,Occasionnel,9,8
Non,1,3,1,000002034,28,4,Infra & Cloud,Y,Occasionnel,0,10
Non,2,2,1,000002035,28,3,Marketing,Y,Occasionnel,1,7
Non,1,4,1,000002036,15,4,Marketing,Y,Aucun,11,11
Non,1,5,1,000002037,3,3,Infra & Cloud,Y,Occasionnel,0,4
Non,0,4,1,000002038,2,3,Entrepreunariat,Y,Occasionnel,1,2
Non,0,2,1,000002040,26,4,Infra & Cloud,Y,Occasionnel,1,7
Non,1,1,1,000002041,10,2,Infra & Cloud,Y,Occasionnel,1,9
Oui,2,3,1,000002044,1,4,Infra & Cloud,Y,Frequent,0,1
Non,1,2,1,000002045,11,4,Marketing,Y,Occasionnel,0,0
Non,0,3,1,000002046,20,3,Infra & Cloud,Y,Occasionnel,0,1
Non,0,2,1,000002048,2,4,Infra & Cloud,Y,Occasionnel,2,2
Non,2,2,1,000002049,18,4,Infra & Cloud,Y,Frequent,0,2
Non,3,2,1,000002051,2,4,Transformation Digitale,Y,Occasionnel,0,2
Non,1,5,1,000002052,1,4,Infra & Cloud,Y,Occasionnel,1,1
Non,1,2,1,000002053,13,2,Autre,Y,Occasionnel,0,3
Non,0,3,1,000002054,28,4,Transformation Digitale,Y,Occasionnel,0,4
Oui,1,3,1,000002055,28,3,Marketing,Y,Occasionnel,2,0
Non,1,2,1,000002056,24,1,Marketing,Y,Occasionnel,9,6
Non,0,2,1,000002057,5,3,Transformation Digitale,Y,Aucun,1,7
Non,0,2,1,000002060,5,3,Autre,Y,Occasionnel,0,0
Non,1,3,1,000002061,23,2,Transformation Digitale,Y,Frequent,0,3
Non,1,5,1,000002062,6,1,Transformation Digitale,Y,Occasionnel,1,7
Non,1,0,1,000002064,4,3,Infra & Cloud,Y,Occasionnel,0,3
Non,0,3,1,000002065,2,3,Transformation Digitale,Y,Frequent,0,8
Non,0,3,1,000002068,8,3,Transformation Digitale,Y,Occasionnel,1,2
